Sample;Sand;Silt;Clay;pH (H2O);pH (KCl);pH (pH CaCl2);OM (g.kg-1);SOC (g.kg-1);P (mg dm3);K (mmolc/dm3);Ca (mmolc/dm3);Mg (mmolc/dm3);Al (mmolc/dm3);H (mmolc/dm3);H+Al (mmolc/dm3);SB (mmolc/dm3);CEC (mmolc/dm3);V%;Classe V%;m%;s (mg dm3);Na (mg dm3);B (mg dm3);Fe (mg dm3);Cu (mg dm3);Zn (mg dm3);Mn (mg/dm3);Mg;Al;Si;P;S;Cl;k;Ca;Ti;V;Cr;Mn;Fe;Co;Ni;Cu;Zn;As;Se;Rb;Sr;Y;Zr;Nb;Mo;Ag;Cd;Sn;Sb;W;Hg;Pb;Bi;Th;U
29_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.14;13.51;6.95;0.0541;0;0;0;0.0234;1.9081;0.0794;0;0.0741;17.02;0;0;0.0256;0.007;0.0015;0;0;0.0012;0.0015;0.0344;0.0053;0;0;0;0;0;0;0;0.0021;0;0;0
29_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.9;8.41;22.47;0.1432;0.107;0;0;0.7856;0.3165;0.0277;0;0.1211;2.0284;0;0;0.0031;0.0058;0;0;0.0107;0.0162;0.0021;0.0188;0.0019;0;0;0;0;0;0;0;0.0027;0;0;0
29_25;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.53;11.18;8.86;0.0314;0;0;0;0;1.8862;0.076;0;0.1161;15.08;0;0.0075;0.0241;0.0112;0.0046;0;0.0033;0.0028;0.0051;0.0585;0.0082;0;0;0;0;0;0;0;0.0035;0;0;0
29_32;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.87;14.5;9.16;0.046;0;0;0;0;1.606;0.0758;0;0.0867;15.26;0;0.0054;0.0248;0.008;0.0026;0;0.001;0.0012;0.0027;0.0387;0.0061;0;0;0;0;0;0;0;0.004;0;0;0
29_386;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;9.67;8.51;0.1129;0;0;0;0.0488;3.4988;0.1142;0;0.1988;20.17;0;0;0.0277;0.0167;0;0;0.0027;0.0026;0.005;0.0525;0.0117;0;0;0;0;0;0;0;0.002;0;0;0
29_2040;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.73;9.11;21.52;0.0414;0;0;0;0;0.3251;0;0;0;1.7488;0;0;0;0;0.0013;0;0;0.0011;0;0.0134;0.0009;0;0;0;0;0;0;0;0;0;0;0
29_2105;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.5;19.61;11.65;0.0307;0;0;0;0;0.7386;0;0;0;5.8155;0;0;0;0;0.0018;0;0;0.0007;0.0014;0.0336;0.0031;0;0;0;0;0;0;0;0;0;0;0
29_2124;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.13;14.1;15.46;0.0624;0;0;0;0;0.6197;0;0;0;4.7196;0;0;0.0019;0.0015;0.0013;0;0;0.001;0.0013;0.0304;0.002;0;0;0;0;0;0;0;0;0;0;0
29_2309;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.46;10.19;15.76;0.0745;0;0;0;0;1.3344;0.026;0;0.0833;6.2969;0;0.0038;0.0108;0.0048;0;0;0.0005;0.0009;0.0021;0.0213;0.0027;0;0;0;0;0;0;0;0.0009;0;0;0
29_2824;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.23;16.4;7.12;0.0449;0;0;0;0.0435;1.006;0.0224;0;0.0167;9.73;0;0.0039;0.0082;0.0052;0.0039;0;0.0024;0.002;0.0033;0.0437;0.0062;0;0;0;0;0;0;0;0.0024;0;0;0
